Close/Last,Open,High,Low
132.0025,135.75,135.9975,131.805
135.3175,134.8997,136.25,133.85
134.8475,137.525,137.545,133.45
136.215,134.1875,139.61,133.625
132.7675,133.625,134.21,130.42
133.44,129.675,133.7775,128.865
126.145,132.225,132.45,125.86
134.0475,130.9975,134.435,130.87
131.135,131.0425,136.525,129.625
130.55,131.365,131.5112,129.15
131.4575,129.903,132.1375,128.9675
129.4325,129.25,130.725,128.4225
129.0,130.625,130.625,127.6318
129.9375,130.3725,131.325,129.3875
130.0925,132.56,132.75,130.05
132.7825,133.1925,133.3725,130.5388
133.3225,130.7475,133.7,129.675
132.72,133.79,134.05,130.705
133.4125,133.6675,133.795,131.785
132.425,134.225,134.3725,132.125
133.605,134.3975,134.64,131.8675
133.0875,130.8788,133.8875,130.775
130.1325,129.6725,130.2,128.23
129.7225,128.69,130.6875,128.4938
129.3075,133.005,134.14,128.6824
133.5,135.85,135.9875,132.815
136.0675,136.0125,137.3125,135.0
135.5825,134.485,135.6,133.8869
133.96,135.875,136.6,133.29
135.445,133.505,136.7344,132.3425
133.9,134.9225,135.2875,132.2825
134.015,132.65,134.125,129.7235
132.6125,133.75,134.075,131.7055
132.3475,130.325,132.6939,130.2
129.5775,131.425,131.62,128.85
131.4,131.7113,133.825,130.155
130.8775,134.54,134.945,130.65
134.4025,132.1275,134.875,131.0
134.2875,134.6525,136.0575,131.85
134.2225,135.525,135.9625,133.0387
135.1525,131.725,136.495,131.56
132.97,136.2728,136.6875,130.5925
134.5675,134.7893,137.66,133.16
134.18,130.5375,134.3488,129.4825
127.7,136.065,136.065,126.2825
136.3075,145.525,146.915,136.1075
145.62,141.0975,145.8875,138.95
141.6,141.625,143.39,139.91
137.9425,133.8925,138.275,133.3688
130.195,127.085,131.05,126.0275
125.8075,126.5775,128.3666,123.95
125.34,128.5,129.3638,123.0
130.24,128.385,131.9275,127.5
126.27,131.98,132.6,126.09
133.9675,133.06,134.42,131.915
131.4125,134.27,136.9279,130.385
135.9025,134.5,135.9325,132.9125
133.61,135.225,136.1175,132.3175
135.2475,136.25,137.915,134.775
